judet,totalsomeridincare:,farastudii,invatamantprimar,invatamantgimnazial,invatamantliceal,invatamantposticeal,invatamantprofesional/artesimeserii,invatamantuniversitar,origin,judet.1,numartotalsomeri,numartotalsomerifemei,numartotalsomeribarbati,numartotalsomeridinmediulurban,numarsomerifemeidinmediulurban,numarsomeribarbatidinmediulurban,numartotalsomeridinmediulrural,numarsomerifemeidinmediulrural,numarsomeribarbatidinmediulrural,origin.1,judet.2,numartotalsomeri.1,numartotalsomerifemei.1,numartotalsomeribarbati.1,numarsomeriindemnizati,numarsomerineindemnizati,ratasomajului(%),ratasomajuluifeminina(%),ratasomajuluimasculina(%),origin.2,judet.3,total,sub25ani,2529ani,3039ani,4049ani,5055ani,peste55ani,origin.3,year,month,yearmonth
alba,5690,704,775,1670,1283,44,946,268,18-08-educatie,alba,5690,2546,3144,1991,1006,985,3699,1540,2159,18-08-medii,alba,5690,2546,3144,1767,3923,3.38,3.37,3.38,18-08-rata,alba,5690,689,331,1125,1579,922,1044,18-08-varsta,2018,8,201808
arad,2859,0,1102,896,434,25,208,194,18-08-educatie,arad,2859,1361,1498,935,495,440,1924,866,1058,18-08-medii,arad,2859,1361,1498,839,2020,1.32,1.41,1.25,18-08-rata,arad,2859,286,123,413,760,503,774,18-08-varsta,2018,8,201808
arges,8822,893,2240,2891,1204,74,1166,354,18-08-educatie,arges,8822,3930,4892,1234,722,512,7588,3208,4380,18-08-medii,arges,8822,3930,4892,1561,7261,3.44,3.27,3.59,18-08-rata,arges,8822,1014,538,1753,2464,1521,1532,18-08-varsta,2018,8,201808
bacau,12947,1984,2878,2450,2162,126,2933,414,18-08-educatie,bacau,12947,5118,7829,2812,1193,1619,10135,3925,6210,18-08-medii,bacau,12947,5118,7829,1797,11150,6.12,5.64,6.49,18-08-rata,bacau,12947,1785,1981,2249,2363,2340,2229,18-08-varsta,2018,8,201808
bihor,4144,716,823,818,861,84,419,423,18-08-educatie,bihor,4144,2120,2024,1293,754,539,2851,1366,1485,18-08-medii,bihor,4144,2120,2024,1571,2573,1.55,1.68,1.43,18-08-rata,bihor,4144,714,261,863,1095,669,542,18-08-varsta,2018,8,201808
bistrita,3395,73,476,1351,694,47,549,205,18-08-educatie,bistrita,3395,1711,1684,1011,585,426,2384,1126,1258,18-08-medii,bistrita,3395,1711,1684,1451,1944,2.57,2.89,2.31,18-08-rata,bistrita,3395,469,196,618,899,621,592,18-08-varsta,2018,8,201808
botosani,4146,165,1229,1223,705,41,641,142,18-08-educatie,botosani,4146,1817,2329,1323,644,679,2823,1173,1650,18-08-medii,botosani,4146,1817,2329,693,3453,2.97,2.72,3.2,18-08-rata,botosani,4146,491,172,643,1254,673,913,18-08-varsta,2018,8,201808
braila,5177,864,1367,1807,401,44,509,185,18-08-educatie,braila,5177,2074,3103,1200,579,621,3977,1495,2482,18-08-medii,braila,5177,2074,3103,507,4670,4.16,3.76,4.48,18-08-rata,braila,5177,520,262,964,1576,656,1199,18-08-varsta,2018,8,201808
brasov,6331,575,1627,2689,627,60,440,313,18-08-educatie,brasov,6331,2761,3570,1722,894,828,4609,1867,2742,18-08-medii,brasov,6331,2761,3570,906,5425,2.41,2.52,2.34,18-08-rata,brasov,6331,865,468,1441,1558,897,1102,18-08-varsta,2018,8,201808
bucuresti,17371,30,149,3072,5743,317,3087,4973,18-08-educatie,buc,17371,9094,8277,17371,9094,8277,0,0,0,18-08-medii,buc,17371,9094,8277,2290,15081,1.46,1.56,1.36,18-08-rata,buc,8717,373,1945,4307,4681,3201,2864,18-08-varsta,2018,8,201808
buzau,12526,1305,1474,6508,1393,77,1627,142,18-08-educatie,buzau,12526,5037,7489,2225,1077,1148,10301,3960,6341,18-08-medii,buzau,12526,5037,7489,1370,11156,7.17,6.44,7.76,18-08-rata,buzau,17371,1384,587,2190,3758,1980,2627,18-08-varsta,2018,8,201808
calarasi,3984,558,1059,1296,652,34,319,66,18-08-educatie,calarasi,3984,1911,2073,924,494,430,3060,1417,1643,18-08-medii,calarasi,3984,1911,2073,534,3450,4.23,4.24,4.22,18-08-rata,calarasi,12526,505,180,783,1053,632,831,18-08-varsta,2018,8,201808
caras,3767,260,607,1224,928,58,475,215,18-08-educatie,caras,3767,1667,2100,1544,725,819,2223,942,1281,18-08-medii,caras,3767,1667,2100,1390,2377,3.39,3.37,3.4,18-08-rata,caras,3984,523,222,610,1073,652,687,18-08-varsta,2018,8,201808
cluj,5088,944,832,1116,935,86,711,464,18-08-educatie,cluj,5088,2529,2559,2235,1302,933,2853,1227,1626,18-08-medii,cluj,5088,2529,2559,1233,3855,1.41,1.57,1.28,18-08-rata,cluj,3767,650,301,966,1401,862,908,18-08-varsta,2018,8,201808
constanta,5534,413,1037,1440,903,65,758,918,18-08-educatie,constanta,5534,2824,2710,2751,1592,1159,2783,1232,1551,18-08-medii,constanta,5534,2824,2710,1579,3955,1.87,2.31,1.55,18-08-rata,constanta,5088,520,247,1070,1490,941,1266,18-08-varsta,2018,8,201808
covasna,3101,453,935,730,595,22,282,84,18-08-educatie,covasna,3101,1372,1729,1001,466,535,2100,906,1194,18-08-medii,covasna,3101,1372,1729,480,2621,3.59,3.35,3.82,18-08-rata,covasna,5534,949,198,553,658,313,430,18-08-varsta,2018,8,201808
dambovita,9255,1041,1880,2471,2385,61,1137,280,18-08-educatie,dambovita,9255,4271,4984,1481,762,719,7774,3509,4265,18-08-medii,dambovita,9255,4271,4984,1135,8120,4.77,5.33,4.38,18-08-rata,dambovita,3101,1892,421,1374,2231,1475,1862,18-08-varsta,2018,8,201808
dolj,20432,929,9288,5892,1968,120,1836,399,18-08-educatie,dolj,20432,8392,12040,2974,1523,1451,17458,6869,10589,18-08-medii,dolj,20432,8392,12040,2130,18302,7.71,7.05,8.24,18-08-rata,dolj,9255,2079,1125,3756,6072,3438,3962,18-08-varsta,2018,8,201808
galati,13731,1664,2587,5606,2232,54,1273,315,18-08-educatie,galati,13731,5979,7752,2601,1434,1167,11130,4545,6585,18-08-medii,galati,13731,5979,7752,1219,12512,7.08,6.93,7.2,18-08-rata,galati,20432,2305,482,2019,3930,2174,2821,18-08-varsta,2018,8,201808
giurgiu,2515,434,490,738,587,18,179,69,18-08-educatie,giurgiu,2515,1255,1260,559,321,238,1956,934,1022,18-08-medii,giurgiu,2515,1255,1260,482,2033,3.03,3.29,2.81,18-08-rata,giurgiu,13731,456,95,372,569,453,570,18-08-varsta,2018,8,201808
gorj,6052,304,484,1941,1654,164,1110,395,18-08-educatie,gorj,6052,2688,3364,1966,1009,957,4086,1679,2407,18-08-medii,gorj,6052,2688,3364,2059,3993,4.45,4.38,4.51,18-08-rata,gorj,2515,649,233,940,1680,900,1650,18-08-varsta,2018,8,201808
harghita,5754,1334,1444,994,1107,47,588,240,18-08-educatie,harghita,5754,2545,3209,1772,866,906,3982,1679,2303,18-08-medii,harghita,5754,2545,3209,1433,4321,4.25,4.32,4.19,18-08-rata,harghita,6052,1251,398,1210,1385,734,776,18-08-varsta,2018,8,201808
hunedoara,6786,570,573,1654,2196,107,1074,612,18-08-educatie,hunedoara,6786,3432,3354,4752,2467,2285,2034,965,1069,18-08-medii,hunedoara,6786,3432,3354,3130,3656,3.74,4.14,3.41,18-08-rata,hunedoara,5754,791,422,1187,2241,1232,913,18-08-varsta,2018,8,201808
ialomita,5412,367,1353,2048,794,53,727,70,18-08-educatie,ialomita,5412,2328,3084,1607,675,932,3805,1653,2152,18-08-medii,ialomita,5412,2328,3084,827,4585,5.63,5.27,5.93,18-08-rata,ialomita,6786,699,236,928,1510,934,1105,18-08-varsta,2018,8,201808
iasi,9927,779,1978,3411,958,60,2436,305,18-08-educatie,iasi,9927,4241,5686,1683,809,874,8244,3432,4812,18-08-medii,iasi,9927,4241,5686,920,9007,3.43,3.23,3.61,18-08-rata,iasi,5412,1012,246,1537,2821,1887,2424,18-08-varsta,2018,8,201808
ilfov,1118,231,325,165,222,6,84,85,18-08-educatie,ilfov,1118,605,513,227,147,80,891,458,433,18-08-medii,ilfov,1118,605,513,355,763,0.6,0.75,0.48,18-08-rata,ilfov,9927,162,52,233,302,165,204,18-08-varsta,2018,8,201808
maramures,6473,200,2614,1341,1207,85,669,357,18-08-educatie,maramures,6473,3109,3364,3216,1637,1579,3257,1472,1785,18-08-medii,maramures,6473,3109,3364,1353,5120,3.3,3.45,3.16,18-08-rata,maramures,1118,764,523,1479,1687,1042,978,18-08-varsta,2018,8,201808
mehedinti,8717,0,1774,4289,1404,118,1033,99,18-08-educatie,mehedinti,8717,3526,5191,1802,792,1010,6915,2734,4181,18-08-medii,mehedinti,8717,3526,5191,1661,7056,8.37,7.35,9.25,18-08-rata,mehedinti,6473,541,361,1876,2900,1368,1671,18-08-varsta,2018,8,201808
mures,7411,1235,2323,1564,602,61,1402,224,18-08-educatie,mures,7411,2780,4631,1249,665,584,6162,2115,4047,18-08-medii,mures,7411,2780,4631,1064,6347,3.17,2.72,3.52,18-08-rata,mures,7411,1042,620,1706,2096,902,1045,18-08-varsta,2018,8,201808
neamt,9441,1091,1693,2952,1911,79,1452,263,18-08-educatie,neamt,9441,4016,5425,1634,832,802,7807,3184,4623,18-08-medii,neamt,9441,4016,5425,1545,7896,5.18,5.08,5.25,18-08-rata,neamt,9441,1129,416,1664,2733,1600,1899,18-08-varsta,2018,8,201808
olt,10235,1532,1297,4381,1460,60,1391,114,18-08-educatie,olt,10235,4144,6091,2035,989,1046,8200,3155,5045,18-08-medii,olt,10235,4144,6091,1059,9176,6.29,5.52,6.96,18-08-rata,olt,10235,977,396,1686,3108,1863,2205,18-08-varsta,2018,8,201808
prahova,8281,433,2688,1883,1473,128,1204,472,18-08-educatie,prahova,8281,3976,4305,2658,1393,1265,5623,2583,3040,18-08-medii,prahova,8281,3976,4305,2550,5731,2.79,3.06,2.57,18-08-rata,prahova,8281,1123,349,1425,2325,1514,1545,18-08-varsta,2018,8,201808
salaj,4675,198,992,2123,736,25,447,154,18-08-educatie,salaj,4675,1892,2783,889,456,433,3786,1436,2350,18-08-medii,salaj,4675,1892,2783,846,3829,4.53,4.1,4.88,18-08-rata,salaj,4675,840,374,1006,1177,649,629,18-08-varsta,2018,8,201808
satumare,3913,442,1846,1005,295,10,217,98,18-08-educatie,satumare,3913,1692,2221,748,359,389,3165,1333,1832,18-08-medii,satum,3913,1692,2221,439,3474,2.66,2.52,2.78,18-08-rata,satumare,3913,556,303,943,1067,522,522,18-08-varsta,2018,8,201808
sibiu,3703,194,1012,1341,426,52,430,248,18-08-educatie,sibiu,3703,1719,1984,1179,596,583,2524,1123,1401,18-08-medii,sibiu,3703,1719,1984,967,2736,1.87,1.94,1.82,18-08-rata,sibiu,3703,352,257,754,974,619,747,18-08-varsta,2018,8,201808
suceava,12323,90,372,7333,2263,126,1761,378,18-08-educatie,suceava,12323,5422,6901,3263,1629,1634,9060,3793,5267,18-08-medii,suceava,12323,5422,6901,2891,9432,5.31,5.2,5.41,18-08-rata,suceava,12323,2768,756,2192,3062,1526,2019,18-08-varsta,2018,8,201808
teleorman,12299,529,1919,6440,1988,78,1228,117,18-08-educatie,teleorman,12299,4917,7382,2696,1265,1431,9603,3652,5951,18-08-medii,teleorman,12299,4917,7382,1495,10804,8.27,6.77,9.7,18-08-rata,teleorman,12299,1601,654,2116,3378,2126,2424,18-08-varsta,2018,8,201808
timis,2912,409,315,541,696,39,526,386,18-08-educatie,timis,2912,1567,1345,1354,804,550,1558,763,795,18-08-medii,timis,2912,1567,1345,1487,1425,0.84,1.03,0.69,18-08-rata,timis,2912,334,146,479,883,471,599,18-08-varsta,2018,8,201808
tulcea,2505,0,834,1057,369,0,221,24,18-08-educatie,tulcea,2505,1123,1382,693,363,330,1812,760,1052,18-08-medii,tulcea,2505,1123,1382,554,1951,2.98,2.86,3.08,18-08-rata,tulcea,2505,401,186,570,696,373,279,18-08-varsta,2018,8,201808
valcea,5423,193,531,1599,1746,93,909,352,18-08-educatie,valcea,5423,2659,2764,1920,1015,905,3503,1644,1859,18-08-medii,valcea,5423,2659,2764,1703,3720,3.34,3.66,3.07,18-08-rata,valcea,5423,1035,291,889,1515,897,796,18-08-varsta,2018,8,201808
vaslui,12163,480,2537,5258,2116,56,1610,106,18-08-educatie,vaslui,12163,4783,7380,1381,696,685,10782,4087,6695,18-08-medii,vaslui,12163,4783,7380,847,11316,8.7,7.16,10.11,18-08-rata,vaslui,12163,964,402,2121,4178,2135,2363,18-08-varsta,2018,8,201808
vrancea,6251,680,1852,1970,910,52,637,150,18-08-educatie,vrancea,6251,2652,3599,1291,628,663,4960,2024,2936,18-08-medii,vrancea,6251,2652,3599,934,5317,4.5,4.01,4.95,18-08-rata,vrancea,6251,884,314,1001,1670,1034,1348,18-08-varsta,2018,8,201808
